treat,pctVV,elected,male,occBlue.collar,occEducation,occGovernment,occMedia,occNone,occOther,occPolitician,occWhite.collar,lat,long,ran.prior,incumbent,log.valid.votes,party.prior.pctVV,prior.pctVV,elec.year,match.partyPCB,match.partyPC.do.B,match.partyPDT,match.partyPFL,match.partyPL,match.partyPMDB,match.partyPMN,match.partyPP,match.partyPPS,match.partyPSB,match.partyPSC,match.partyPSDB,match.partyPSDC,match.partyPSL,match.partyPT,match.partyPTB,match.partyPV,uf.rs,uf.sp,yob,eduMore.than.Primary..Less.than.Superior,eduSome.Superior.or.More,log.total.assets,pt_pres_1998,psdb_2000,hdi_2000,income_2000,log.num.apps
1,6.13,0,0,0,1,0,0,0,0,0,0,-11.927222222222222,-61.990833333333335,0,0,10.2360951883409,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1960,1,0,13.997832948091215,0.09317980513728964,0,0.7149999737739563,188.2740020751953,0
0,2.6906207827260458,0,1,0,0,0,0,0,0,0,1,-11.4375,-61.43583333333333,0,0,10.479201636203978,15.003257105633079,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1962,1,0,0,0.10895466622384589,0,0.7549999952316284,230.05099487304687,0.6931471805599453
0,1.5982721382289418,0,1,0,1,0,0,0,0,0,0,-13.195555555555556,-60.802499999999995,0,0,9.1334593276402245,12.766189800152889,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1968,1,0,0,0.09743222106360792,0,0.7509999871253967,253.91799926757813,0
0,2.72,0,1,0,0,1,0,0,0,0,0,-13.195555555555556,-60.802499999999995,1,0,10.247857094617705,2.7321814254859613,1.5982721382289418,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,1,0,8.853808274977197,0.09743222106360792,0,0.7509999871253967,253.91799926757813,0
0,0.88,0,1,0,0,0,0,0,0,0,1,-13.19138888888889,-60.82361111111111,0,0,10.247857094617705,16.684665226781856,0,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1,0,10.463131911491967,0.09743222106360792,0,0.7509999871253967,253.91799926757813,0.6931471805599453
1,0.06955715279387896,0,1,0,0,0,0,0,0,0,0,-12.998888888888889,-60.94499999999999,0,0,8.369388996647842,26.650943396226417,0,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1943,1,0,0,0.1363962670495334,0,0.6679999828338623,123.30500030517578,0.6931471805599453
1,2.1066143159166417,1,1,0,0,0,0,0,0,0,0,-10.4375,-62.465,0,0,10.184447079227082,10.161559435152403,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1968,1,0,0,0.11013354281225451,0,0.7289999723434448,198.25900268554687,0
0,0.52,0,1,0,0,0,0,0,0,0,1,-9.256944444444445,-64.39916666666667,0,0,13.23884423225785,4.648413942829574,0,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1965,0,0,11.51293546492023,0.18662804927796361,0.11653698939574575,0.7630000114440918,305.2049865722656,2.8903717578961645
0,0.14,0,1,0,0,1,0,0,0,0,0,-9.773888888888889,-66.35749999999999,0,0,13.23884423225785,10.02774092389338,0,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,0,1,0,0.18662804927796361,0.11653698939574575,0.7630000114440918,305.2049865722656,1.0986122886681098
0,2.736588306208559,0,1,0,0,1,0,0,0,0,0,-11.690833333333334,-62.71472222222223,1,0,9.023408202624545,26.14779186707477,1.4720886168197056,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1970,1,0,0,0.10393719240684321,0,0.6690000295639038,144.66000366210937,0.6931471805599453
