UID,Round,Choice,Profile_Gender,Profile_Caste,Profile_Party,Profile_PG,Profile_Promise,conjoint_choice,respondent_state,respondent_gender,respondent_age,respondent_co_ethnic
AAAA,1,B,Female,SC,JDU,Good Roads,Economy,1,Bihar,male,47,0
AAAA,2,B,Male,OBC,JDU,Good Roads,Patronage,1,Bihar,male,47,1
AAAA,2,A,Female,Forward,JDU,Bad Roads,Patronage,0,Bihar,male,47,0
AAAA,1,A,Male,Forward,JDU,Bad Roads,Economy,0,Bihar,male,47,0
AANA,1,B,Male,SC,BJP,Good Roads,Patronage,0,Bihar,female,35,1
AANA,2,B,Female,OBC,BJP,Bad Roads,Economy,1,Bihar,female,35,0
AANA,1,A,Female,OBC,JDU,Bad Roads,Economy,1,Bihar,female,35,0
AANA,2,A,Female,Forward,JDU,Good Roads,Economy,0,Bihar,female,35,0
AANV,2,A,Male,SC,BJP,Bad Roads,Economy,1,Bihar,female,19,0
AANV,1,A,Female,OBC,RJD,Bad Roads,Economy,0,Bihar,female,19,1
AANV,1,B,Male,Forward,RJD,Good Roads,Patronage,1,Bihar,female,19,0
AANV,2,B,Male,SC,JDU,Bad Roads,Patronage,0,Bihar,female,19,0
ABNW,2,A,Male,SC,BJP,Good Roads,Economy,0,Bihar,female,35,0
ABNW,1,B,Female,Forward,RJD,Good Roads,Patronage,1,Bihar,female,35,0
ABNW,2,B,Female,Forward,RJD,Bad Roads,Economy,1,Bihar,female,35,0
ABNW,1,A,Male,SC,JDU,Good Roads,Economy,0,Bihar,female,35,0
ACJC,1,A,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,male,28,0
ACJC,2,A,Female,OBC,RJD,Good Roads,Patronage,1,Bihar,male,28,1
ACJC,1,B,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,28,1
ACJC,2,B,Male,Forward,BJP,Bad Roads,Patronage,0,Bihar,male,28,0
ACKL,2,B,Female,OBC,JDU,Good Roads,Economy,1,Bihar,female,21,0
ACKL,1,A,Female,Forward,RJD,Good Roads,Patronage,1,Bihar,female,21,0
ACKL,1,B,Male,Forward,JDU,Bad Roads,Economy,0,Bihar,female,21,0
ACKL,2,A,Female,OBC,JDU,Bad Roads,Patronage,0,Bihar,female,21,0
ACSX,2,A,Female,SC,BJP,Bad Roads,Patronage,0,Bihar,male,21,1
ACSX,1,B,Male,Forward,BJP,Bad Roads,Patronage,0,Bihar,male,21,0
ACSX,2,B,Female,SC,RJD,Good Roads,Patronage,1,Bihar,male,21,1
ACSX,1,A,Female,OBC,RJD,Bad Roads,Economy,1,Bihar,male,21,0
ACUF,1,B,Male,SC,JDU,Bad Roads,Patronage,0,Bihar,male,35,1
ACUF,1,A,Female,SC,BJP,Good Roads,Economy,1,Bihar,male,35,1
ACUF,2,A,Male,SC,JDU,Good Roads,Economy,0,Bihar,male,35,1
ACUF,2,B,Female,SC,BJP,Bad Roads,Patronage,1,Bihar,male,35,1
ADIH,2,B,Female,OBC,JDU,Good Roads,Patronage,0,Bihar,female,38,1
ADIH,2,A,Female,OBC,JDU,Bad Roads,Economy,1,Bihar,female,38,1
ADIH,1,B,Male,SC,RJD,Good Roads,Patronage,0,Bihar,female,38,0
ADIH,1,A,Male,OBC,JDU,Bad Roads,Economy,1,Bihar,female,38,1
ADKA,2,B,Male,OBC,JDU,Good Roads,Economy,1,Bihar,female,40,0
ADKA,1,B,Female,SC,JDU,Good Roads,Economy,1,Bihar,female,40,0
ADKA,1,A,Female,SC,BJP,Good Roads,Patronage,0,Bihar,female,40,0
ADKA,2,A,Female,SC,JDU,Good Roads,Economy,0,Bihar,female,40,0
ADWJ,1,A,Female,OBC,BJP,Good Roads,Patronage,1,Bihar,male,30,0
ADWJ,2,B,Female,OBC,BJP,Bad Roads,Patronage,0,Bihar,male,30,0
ADWJ,2,A,Male,SC,BJP,Good Roads,Economy,1,Bihar,male,30,0
ADWJ,1,B,Female,SC,JDU,Good Roads,Patronage,0,Bihar,male,30,0
AEBH,1,B,Female,SC,RJD,Good Roads,Economy,1,Bihar,female,25,1
AEBH,2,B,Male,Forward,JDU,Good Roads,Economy,1,Bihar,female,25,0
AEBH,2,A,Male,OBC,RJD,Bad Roads,Economy,0,Bihar,female,25,0
AEBH,1,A,Female,OBC,BJP,Good Roads,Patronage,0,Bihar,female,25,0
AEFI,1,A,Female,OBC,BJP,Bad Roads,Patronage,0,Bihar,male,52,1
AEFI,1,A,Female,OBC,BJP,Bad Roads,Patronage,1,Bihar,male,45,0
AEFI,2,B,Male,Forward,BJP,Bad Roads,Patronage,0,Bihar,male,52,0
AEFI,2,B,Male,Forward,BJP,Bad Roads,Patronage,1,Bihar,male,45,0
AEFI,2,A,Female,OBC,BJP,Good Roads,Patronage,0,Bihar,male,52,1
AEFI,2,A,Female,OBC,BJP,Good Roads,Patronage,0,Bihar,male,45,0
AEFI,1,B,Male,Forward,JDU,Bad Roads,Economy,1,Bihar,male,52,0
AEFI,1,B,Male,Forward,JDU,Bad Roads,Economy,0,Bihar,male,45,0
AEHE,2,B,Male,SC,JDU,Bad Roads,Economy,0,Bihar,male,32,0
AEHE,1,B,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,32,1
AEHE,2,A,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,32,1
AEHE,1,A,Female,OBC,BJP,Bad Roads,Patronage,0,Bihar,male,32,1
AEMY,1,A,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,38,1
AEMY,2,A,Male,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,38,0
AEMY,1,B,Female,SC,RJD,Bad Roads,Economy,0,Bihar,male,38,1
AEMY,2,B,Female,SC,BJP,Good Roads,Economy,1,Bihar,male,38,1
AFCA,2,B,Male,OBC,RJD,Good Roads,Economy,0,Bihar,female,32,0
AFCA,1,B,Male,OBC,BJP,Good Roads,Economy,1,Bihar,female,32,0
AFCA,2,A,Male,Forward,BJP,Bad Roads,Economy,1,Bihar,female,32,0
AFCA,1,A,Male,Forward,JDU,Bad Roads,Patronage,0,Bihar,female,32,0
AFDH,2,A,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,male,25,0
AFDH,2,B,Male,Forward,JDU,Bad Roads,Economy,1,Bihar,male,25,0
AFDH,1,B,Female,SC,RJD,Bad Roads,Economy,0,Bihar,male,25,1
AFDH,1,A,Male,OBC,JDU,Good Roads,Patronage,1,Bihar,male,25,0
AFIL,2,B,Male,OBC,RJD,Bad Roads,Economy,0,Bihar,female,64,0
AFIL,2,A,Male,OBC,JDU,Good Roads,Economy,1,Bihar,female,64,0
AFIL,1,B,Male,OBC,JDU,Bad Roads,Patronage,0,Bihar,female,64,0
AFIL,1,A,Female,SC,BJP,Bad Roads,Patronage,1,Bihar,female,64,1
AFLX,2,B,Male,SC,BJP,Good Roads,Economy,1,Bihar,male,40,0
AFLX,2,A,Male,SC,BJP,Bad Roads,Patronage,0,Bihar,male,40,0
AFLX,1,B,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,40,0
AFLX,1,A,Female,OBC,RJD,Bad Roads,Patronage,0,Bihar,male,40,0
AFTN,1,B,Female,SC,JDU,Good Roads,Patronage,1,Bihar,female,28,0
AFTN,2,A,Male,SC,BJP,Good Roads,Economy,1,Bihar,female,28,0
AFTN,1,A,Male,OBC,RJD,Bad Roads,Patronage,0,Bihar,female,28,0
AFTN,2,B,Female,OBC,BJP,Bad Roads,Economy,0,Bihar,female,28,0
AGDM,1,A,Male,Forward,BJP,Bad Roads,Patronage,1,Bihar,female,52,0
AGDM,2,B,Female,Forward,RJD,Bad Roads,Patronage,0,Bihar,female,52,0
AGDM,2,A,Male,OBC,RJD,Bad Roads,Patronage,1,Bihar,female,52,0
AGDM,1,B,Female,Forward,BJP,Good Roads,Patronage,0,Bihar,female,52,0
AGFL,2,B,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,female,45,1
AGFL,2,A,Female,SC,RJD,Good Roads,Economy,1,Bihar,female,45,1
AGFL,1,A,Female,OBC,JDU,Bad Roads,Patronage,0,Bihar,female,45,0
AGFL,1,B,Female,SC,RJD,Bad Roads,Economy,1,Bihar,female,45,1
AGQC,2,B,Female,OBC,BJP,Bad Roads,Economy,0,Bihar,female,27,1
AGQC,1,A,Male,Forward,JDU,Good Roads,Patronage,1,Bihar,female,27,0
AGQC,1,B,Male,OBC,JDU,Bad Roads,Economy,0,Bihar,female,27,1
AGQC,2,A,Female,Forward,JDU,Good Roads,Patronage,1,Bihar,female,27,0
AGXI,2,A,Male,SC,BJP,Bad Roads,Economy,0,Bihar,male,40,1
AGXI,2,B,Female,SC,JDU,Good Roads,Economy,1,Bihar,male,40,1
AGXI,1,A,Female,Forward,BJP,Bad Roads,Patronage,1,Bihar,male,40,0
AGXI,1,B,Male,Forward,BJP,Bad Roads,Economy,0,Bihar,male,40,0
AGXO,1,B,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,54,1
AGXO,1,A,Female,OBC,RJD,Good Roads,Patronage,0,Bihar,male,54,0
AGXO,2,A,Male,SC,BJP,Bad Roads,Economy,0,Bihar,male,54,1
AGXO,2,B,Female,OBC,RJD,Good Roads,Economy,1,Bihar,male,54,0
AHNJ,1,B,Female,Forward,RJD,Bad Roads,Economy,0,Bihar,female,55,0
AHNJ,2,A,Male,OBC,BJP,Bad Roads,Patronage,1,Bihar,female,55,1
AHNJ,1,A,Male,OBC,JDU,Bad Roads,Economy,1,Bihar,female,55,1
AHNJ,2,B,Female,SC,BJP,Bad Roads,Patronage,0,Bihar,female,55,0
AHSL,2,A,Female,SC,JDU,Bad Roads,Economy,1,Bihar,female,32,1
AHSL,1,A,Male,SC,JDU,Bad Roads,Patronage,1,Bihar,female,32,1
AHSL,2,B,Female,Forward,BJP,Bad Roads,Patronage,0,Bihar,female,32,0
AHSL,1,B,Female,Forward,RJD,Bad Roads,Economy,0,Bihar,female,32,0
AHTF,1,A,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,male,50,1
AHTF,1,B,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,50,1
AHTF,2,A,Male,OBC,BJP,Good Roads,Patronage,1,Bihar,male,50,0
AHTF,2,B,Male,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,50,0
AJCH,2,B,Male,OBC,JDU,Good Roads,Economy,1,Bihar,male,20,0
AJCH,2,A,Female,OBC,BJP,Bad Roads,Economy,0,Bihar,male,20,0
AJCH,1,B,Male,Forward,RJD,Bad Roads,Economy,0,Bihar,male,20,0
AJCH,1,A,Male,SC,BJP,Bad Roads,Economy,1,Bihar,male,20,1
AJDO,1,B,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,female,22,0
AJDO,2,B,Female,SC,JDU,Good Roads,Economy,1,Bihar,female,22,1
AJDO,2,A,Female,Forward,JDU,Bad Roads,Patronage,0,Bihar,female,22,0
AJDO,1,A,Male,SC,RJD,Bad Roads,Economy,1,Bihar,female,22,1
AJKC,2,B,Female,OBC,RJD,Good Roads,Economy,1,Bihar,female,55,0
AJKC,1,B,Male,OBC,RJD,Good Roads,Economy,0,Bihar,female,55,0
AJKC,2,A,Female,OBC,BJP,Bad Roads,Patronage,0,Bihar,female,55,0
AJKC,1,A,Female,Forward,RJD,Bad Roads,Economy,1,Bihar,female,55,1
AJRS,2,A,Female,Forward,JDU,Good Roads,Economy,1,Bihar,female,50,0
AJRS,1,B,Male,OBC,RJD,Good Roads,Economy,0,Bihar,female,50,0
AJRS,1,A,Female,OBC,RJD,Good Roads,Economy,1,Bihar,female,50,0
AJRS,2,B,Female,Forward,RJD,Good Roads,Patronage,0,Bihar,female,50,0
AKTE,2,B,Female,SC,RJD,Good Roads,Patronage,1,Bihar,female,65,1
AKTE,1,B,Male,SC,BJP,Good Roads,Economy,0,Bihar,female,65,1
AKTE,1,A,Male,OBC,JDU,Good Roads,Economy,1,Bihar,female,65,0
AKTE,2,A,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,female,65,1
ALPJ,1,B,Male,OBC,RJD,Good Roads,Economy,1,Bihar,male,40,0
ALPJ,1,A,Female,SC,BJP,Bad Roads,Economy,0,Bihar,male,40,1
ALPJ,2,A,Female,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,40,0
ALPJ,2,B,Male,SC,BJP,Bad Roads,Economy,1,Bihar,male,40,1
ALRE,1,A,Male,Forward,JDU,Bad Roads,Patronage,0,Bihar,male,28,0
ALRE,2,B,Male,OBC,JDU,Bad Roads,Patronage,0,Bihar,male,28,1
ALRE,1,B,Male,SC,JDU,Bad Roads,Economy,0,Bihar,male,28,0
ALRE,2,A,Female,OBC,JDU,Bad Roads,Economy,0,Bihar,male,28,1
AMMD,2,A,Female,Forward,JDU,Good Roads,Patronage,1,Bihar,male,50,1
AMMD,2,B,Male,SC,RJD,Good Roads,Patronage,0,Bihar,male,50,0
AMMD,1,A,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,50,0
AMMD,1,B,Female,SC,JDU,Bad Roads,Economy,0,Bihar,male,50,0
AMTT,1,A,Male,Forward,JDU,Bad Roads,Economy,1,Bihar,male,50,0
AMTT,1,B,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,male,50,0
AMTT,2,B,Male,Forward,BJP,Good Roads,Patronage,1,Bihar,male,50,0
AMTT,2,A,Male,OBC,BJP,Bad Roads,Patronage,0,Bihar,male,50,0
AMYO,2,B,Female,Forward,RJD,Good Roads,Patronage,1,Bihar,female,32,0
AMYO,1,A,Male,SC,RJD,Good Roads,Economy,1,Bihar,female,32,0
AMYO,2,A,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,female,32,0
AMYO,1,B,Female,Forward,JDU,Bad Roads,Patronage,0,Bihar,female,32,0
