mun,gender,age,education,random_order,cand_pref_cl_proga,cand_pref_cl_progb,random_list,list_treated,list_response,direct_clientelism,rnd_other,other_cards_A,Primed,Constitution_Reform_Support
230440,female,23,medio,0.945665432,,b,0.317254832,0,2,1,6,a,0,1
230630,female,NA,incomplete_medio,0.981338708,,a,0.817814206,1,3,NA,7,a,0,0
230440,male,27,medio,0.977082424,,b,0.156215083,0,2,0,8,a,0,1
230440,male,42,incomplete_fund,0.899337834,,b,0.279715854,0,2,0,3,a,1,1
230440,female,19,incomplete_univ,0.590261733,,b,0.543459401,1,2,0,5,b,0,0
230440,female,21,incomplete_univ,0.326666954,a,,0.669004412,1,2,0,8,a,1,1
230440,female,26,no_educ,0.355831765,b,,0.526328242,1,2,0,6,b,1,0
230440,female,24,incomplete_fund,0.706664423,,b,0.747004276,1,2,0,5,a,1,0
230440,male,48,incomplete_fund,0.956188612,,b,0.113553145,0,0,NA,7,a,1,1
230440,male,NA,fund,0.590971947,,b,0.517755458,1,4,1,6,a,1,1
230810,female,26,medio,0.568866355,,a,0.694305254,1,3,NA,7,a,0,1
230440,female,46,medio,0.252775589,b,,0.827433608,1,1,0,6,a,0,0
230440,female,53,incomplete_medio,0.662172758,,b,0.613560146,1,2,0,7,a,1,1
230440,male,30,fund,0.523920436,,b,0.633566819,1,4,0,3,b,0,0
230440,female,75,medio,0.774473402,,b,0.577848642,1,1,NA,4,b,0,1
230440,female,49,fund,0.13852935,dont_know,,0.890678038,1,0,0,4,b,0,0
230440,female,59,medio,0.222053887,b,,0.847144466,1,1,0,4,b,0,0
230440,female,23,medio,0.292802843,a,,0.379316833,0,1,0,5,b,1,1
230440,female,59,incomplete_fund,0.934420482,,b,0.051240595,0,1,0,6,b,0,0
230440,female,57,no_educ,0.226829958,b,,0.080384107,0,2,0,4837,b,1,1
230440,female,33,incomplete_fund,0.114165607,a,,0.448424247,0,2,0,8,a,0,1
230440,female,NA,no_educ,0.5503739,,b,0.568475173,1,NA,0,5,b,1,0
230440,female,26,medio,0.579560014,,b,0.952051201,1,1,0,3,a,0,1
