Game,Subject_ethnicity,Recipient_Pairing,Recipient,Recipient_ethnicity,Amount,Fairness,Subject_Gender,Subject_Age,Subject_Education
1,Bosnjak,Bosnjak Croat,1,Bosnjak,5,0,1,20,3
1,Bosnjak,Bosnjak Croat,2,Croat,5,0,1,20,3
10,Bosnjak,Bosnjak Serb,1,Bosnjak,10,1,0,25,3
10,Bosnjak,Bosnjak Serb,2,Serb,0,1,0,25,3
100,Croat,Bosnjak Croat,1,Croat,10,1,0,48,3
100,Croat,Bosnjak Croat,2,Bosnjak,0,1,0,48,3
101,Croat,Bosnjak Serb,1,Serb,5,1,0,35,3
101,Croat,Bosnjak Serb,2,Bosnjak,5,1,0,35,3
102,Croat,Croat Serb,1,Serb,5,1,0,49,3
102,Croat,Croat Serb,2,Croat,5,1,0,49,3
103,Croat,Croat Serb,1,Croat,5,1,0,30,4
103,Croat,Croat Serb,2,Serb,5,1,0,30,4
104,Croat,Croat Serb,1,Croat,6,1,1,28,4
104,Croat,Croat Serb,2,Serb,4,1,1,28,4
105,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,52,1
105,Croat,Bosnjak Serb,2,Serb,5,1,1,52,1
106,Croat,Bosnjak Serb,1,Serb,5,1,0,24,3
106,Croat,Bosnjak Serb,2,Bosnjak,5,1,0,24,3
107,Croat,Croat Serb,1,Serb,5,1,1,18,2
107,Croat,Croat Serb,2,Croat,5,1,1,18,2
108,Croat,Croat Serb,1,Serb,4,1,0,21,3
108,Croat,Croat Serb,2,Croat,6,1,0,21,3
109,Croat,Croat Serb,1,Serb,5,1,0,50,3
109,Croat,Croat Serb,2,Croat,5,1,0,50,3
11,Croat,Bosnjak Croat,1,Croat,5,1,0,46,4
11,Croat,Bosnjak Croat,2,Bosnjak,5,1,0,46,4
110,Croat,Bosnjak Serb,1,Serb,5,1,1,54,2
110,Croat,Bosnjak Serb,2,Bosnjak,5,1,1,54,2
111,Bosnjak,Bosnjak Croat,1,Bosnjak,7,1,1,31,4
111,Bosnjak,Bosnjak Croat,2,Croat,3,1,1,31,4
112,Bosnjak,Bosnjak Croat,1,Croat,2,1,1,37,3
112,Bosnjak,Bosnjak Croat,2,Bosnjak,8,1,1,37,3
113,Bosnjak,Bosnjak Croat,1,Bosnjak,8,1,1,36,3
113,Bosnjak,Bosnjak Croat,2,Croat,2,1,1,36,3
114,Bosnjak,Croat Serb,1,Serb,6,1,0,27,3
114,Bosnjak,Croat Serb,2,Croat,4,1,0,27,3
115,Bosnjak,Croat Serb,1,Serb,5,1,1,20,3
115,Bosnjak,Croat Serb,2,Croat,5,1,1,20,3
116,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,1,20,4
116,Bosnjak,Bosnjak Serb,2,Serb,5,1,1,20,4
117,Bosnjak,Bosnjak Serb,1,Serb,5,1,1,20,1
117,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,1,20,1
118,Bosnjak,Croat Serb,1,Croat,5,0,0,22,2
118,Bosnjak,Croat Serb,2,Serb,5,0,0,22,2
119,Bosnjak,Croat Serb,1,Serb,0,1,0,34,3
119,Bosnjak,Croat Serb,2,Croat,10,1,0,34,3
12,Croat,Bosnjak Serb,1,Serb,5,1,0,25,3
12,Croat,Bosnjak Serb,2,Bosnjak,5,1,0,25,3
120,Bosnjak,Bosnjak Serb,1,Serb,0,1,1,40,1
120,Bosnjak,Bosnjak Serb,2,Bosnjak,10,1,1,40,1
121,Bosnjak,Bosnjak Serb,1,Bosnjak,7,1,1,43,1
121,Bosnjak,Bosnjak Serb,2,Serb,3,1,1,43,1
122,Croat,Bosnjak Croat,1,Croat,5,0,1,29,3
122,Croat,Bosnjak Croat,2,Bosnjak,5,0,1,29,3
123,Croat,Bosnjak Croat,1,Bosnjak,5,1,1,53,2
123,Croat,Bosnjak Croat,2,Croat,5,1,1,53,2
124,Croat,Croat Serb,1,Serb,4,1,1,24,3
124,Croat,Croat Serb,2,Croat,6,1,1,24,3
125,Croat,Croat Serb,1,Serb,5,1,1,24,4
125,Croat,Croat Serb,2,Croat,5,1,1,24,4
126,Croat,Bosnjak Serb,1,Serb,5,1,1,36,4
126,Croat,Bosnjak Serb,2,Bosnjak,5,1,1,36,4
127,Croat,Bosnjak Serb,1,Serb,5,NA,1,39,3
127,Croat,Bosnjak Serb,2,Bosnjak,5,NA,1,39,3
128,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,29,3
128,Croat,Bosnjak Serb,2,Serb,5,1,1,29,3
129,Croat,Croat Serb,1,Croat,5,1,0,27,3
129,Croat,Croat Serb,2,Serb,5,1,0,27,3
13,Bosnjak,Croat Serb,1,Croat,5,1,1,26,3
13,Bosnjak,Croat Serb,2,Serb,5,1,1,26,3
130,Croat,Croat Serb,1,Croat,5,1,0,18,3
130,Croat,Croat Serb,2,Serb,5,1,0,18,3
131,Croat,Bosnjak Serb,1,Bosnjak,5,1,0,28,3
131,Croat,Bosnjak Serb,2,Serb,5,1,0,28,3
132,Croat,Bosnjak Croat,1,Croat,7,1,1,21,3
132,Croat,Bosnjak Croat,2,Bosnjak,3,1,1,21,3
133,Croat,Bosnjak Croat,1,Croat,7,0,1,25,3
133,Croat,Bosnjak Croat,2,Bosnjak,3,0,1,25,3
134,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,34,3
134,Croat,Bosnjak Serb,2,Serb,5,1,1,34,3
135,Croat,Bosnjak Serb,1,Serb,5,1,1,23,3
135,Croat,Bosnjak Serb,2,Bosnjak,5,1,1,23,3
136,Croat,Croat Serb,1,Serb,5,1,1,24,3
136,Croat,Croat Serb,2,Croat,5,1,1,24,3
137,Croat,Croat Serb,1,Croat,5,1,1,50,3
137,Croat,Croat Serb,2,Serb,5,1,1,50,3
138,Croat,Bosnjak Serb,1,Bosnjak,4,1,1,18,3
138,Croat,Bosnjak Serb,2,Serb,6,1,1,18,3
139,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,22,3
139,Croat,Bosnjak Serb,2,Serb,5,1,1,22,3
14,Bosnjak,Bosnjak Croat,1,Croat,4,1,1,21,3
14,Bosnjak,Bosnjak Croat,2,Bosnjak,6,1,1,21,3
140,Croat,Croat Serb,1,Croat,6,1,1,22,3
140,Croat,Croat Serb,2,Serb,4,1,1,22,3
141,Croat,Croat Serb,1,Croat,6,1,1,25,3
141,Croat,Croat Serb,2,Serb,4,1,1,25,3
142,Croat,Croat Serb,1,Croat,5,0,0,51,3
142,Croat,Croat Serb,2,Serb,5,0,0,51,3
143,Croat,Bosnjak Croat,1,Croat,5,0,1,25,3
143,Croat,Bosnjak Croat,2,Bosnjak,5,0,1,25,3
144,Croat,Bosnjak Croat,1,Bosnjak,5,1,0,23,4
144,Croat,Bosnjak Croat,2,Croat,5,1,0,23,4
145,Croat,Bosnjak Croat,1,Croat,9,1,1,27,4
145,Croat,Bosnjak Croat,2,Bosnjak,1,1,1,27,4
146,Croat,Bosnjak Croat,1,Croat,5,1,0,27,3
146,Croat,Bosnjak Croat,2,Bosnjak,5,1,0,27,3
147,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,23,4
147,Croat,Bosnjak Serb,2,Serb,5,1,1,23,4
148,Croat,Bosnjak Serb,1,Bosnjak,5,0,0,46,1
148,Croat,Bosnjak Serb,2,Serb,5,0,0,46,1
149,Croat,Croat Serb,1,Serb,5,0,0,43,3
149,Croat,Croat Serb,2,Croat,5,0,0,43,3
15,Croat,Croat Serb,1,Serb,4,1,0,26,3
15,Croat,Croat Serb,2,Croat,6,1,0,26,3
150,Croat,Croat Serb,1,Serb,5,1,0,26,4
150,Croat,Croat Serb,2,Croat,5,1,0,26,4
151,Croat,Bosnjak Serb,1,Bosnjak,5,1,0,24,3
151,Croat,Bosnjak Serb,2,Serb,5,1,0,24,3
152,Croat,Bosnjak Serb,1,Bosnjak,5,1,0,23,3
152,Croat,Bosnjak Serb,2,Serb,5,1,0,23,3
153,Croat,Croat Serb,1,Serb,5,1,0,22,3
153,Croat,Croat Serb,2,Croat,5,1,0,22,3
154,Bosnjak,Croat Serb,1,Serb,10,1,0,28,3
154,Bosnjak,Croat Serb,2,Croat,0,1,0,28,3
155,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,23,3
155,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,23,3
156,Bosnjak,Bosnjak Croat,1,Croat,5,1,0,45,3
156,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,0,45,3
157,Bosnjak,Bosnjak Croat,1,Croat,5,0,0,37,1
157,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,0,37,1
158,Bosnjak,Bosnjak Croat,1,Croat,5,0,0,25,3
158,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,0,25,3
159,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,19,3
159,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,19,3
16,Bosnjak,Croat Serb,1,Serb,7,0,1,48,3
16,Bosnjak,Croat Serb,2,Croat,3,0,1,48,3
160,Bosnjak,Croat Serb,1,Serb,5,1,0,24,3
160,Bosnjak,Croat Serb,2,Croat,5,1,0,24,3
161,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,24,3
161,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,24,3
162,Bosnjak,Croat Serb,1,Serb,5,1,0,26,3
162,Bosnjak,Croat Serb,2,Croat,5,1,0,26,3
163,Bosnjak,Bosnjak Serb,1,Bosnjak,6,1,1,22,3
163,Bosnjak,Bosnjak Serb,2,Serb,4,1,1,22,3
