partyid,pnintst,watchnat,educad,readnews,gender,income,white,Info_Proposition,support,Watched_Program,Encouraged_to_Watch
1,4,4,11,2,0,5,1,4,1,0,1
2,4,6,9,7,0,2,1,3,1,1,1
7,4,7,11,7,1,3,1,3,NA,1,1
1,4,6,11,7,1,7,1,3,1,1,1
2,3,6,11,7,0,9,1,4,1,0,0
2,2,6,6,7,0,2,1,4,1,0,1
7,4,7,12,7,0,5.900900900900901,0,3,0,0,1
7,3,1,12,6,1,6,1,2,0,0,0
6,3,6,11,1,1,4,1,3,1,0,0
2,3,6,11,6,0,6,0,2,1,0,1
2,2,6,12,7,1,11,1,4,1,0,0
1,4,7,11,7,0,10,1,4,1,0,0
6,4,7,4,1,1,5.900900900900901,1,3,NA,0,1
2,4,7,9,6,1,4,1,4,1,0,0
2,3,7,7,7,1,3,1,3,1,0,1
3,3,6,11,5,1,4,1,4,0,0,0
2,3,7,11,6,0,7,1,3,1,1,1
1,3,7,8,5,1,6,1,3,1,0,1
7,2,6,7,3,1,5,0,3,0,0,1
3.5060975609756095,2,7,2,1,1,1,1,3,1,0,1
1,4,7,2,7,1,3,0,4,1,0,0
2,2,6,11,4,0,4,1,3,1,0,0
7,3,5,12,7,0,11,1,4,1,1,1
6,2,6,11,1,1,3,0,2,1,0,1
1,4,6,9,7,0,5.900900900900901,0.7766599597585513,4,1,0,0
2,3,6,9,1,1,5,0,3,1,0,0
2,3,1,6,7,1,6,1,4,1,0,1
1,4,7,13,7,0,5.900900900900901,1,4,1,1,1
2,3,2,11,7,1,8,1,4,1,0,1
2,4,4,8,7,0,3,1,4,0,0,1
3,2,6,4,2,0,4,1,2,0,0,0
1,3.274703557312253,6.101593625498008,4,6,0,5.900900900900901,0,2,1,1,1
3,4,6,11,7,0,5,1,4,1,1,0
6,2,7,4,1,1,2,0,3,NA,1,1
5,2,7,9,7,0,11,0,1,1,0,0
1,4,7,9,7,0,8,0,3,1,0,0
7,4,7,11,7,1,2,1,4,NA,0,0
3,3,7,11,5,0,7,0,2,1,1,0
4,4,7,4,6,0,5,1,4,1,0,1
1,4,6,12,7,0,11,1,4,1,0,1
2,3,6,11,1,1,6,1,3,1,0,1
5,3,6,11,5,0.54216867469879515,3,1,3,1,0,1
6,2,6,10,4,0,4,1,3,0,0,1
5,4,7,12,7,0,6,1,3,0,1,1
7,4,6,12,7,0,5.900900900900901,1,3,0,1,1
4,2,7,4,5,0,2,0,2,1,0,0
3,3,7,4,1,0,10,1,3,1,0,1
1,4,7,9,7,1,5.900900900900901,1,4,1,0,0
1,3,7,4,6,1,6,1,4,1,0,0
3.5060975609756095,2,3,3,5,1,5.900900900900901,0,2,1,0,0
1,4,7,11,7,0,3,1,4,1,0,1
3.5060975609756095,3,7,11,7,0,4,0,2,0,0,1
2,4,7,11,7,1,5.900900900900901,1,4,1,1,1
7,3,6,11,6,1,5,0,3,0,0,0
1,3,1,11,5,1,5.900900900900901,1,3,1,1,1
4,3,7,11,7,0,3,1,2,1,0,1
1,3,5,8,7,0,10,1,2,NA,0,1
5,2,7,8,2,1,5.900900900900901,0,3,1,0,1
6,3,6,4,2,1,4,1,2,NA,0,0
2,2,7,11,6,1,7,1,3,1,0,1
7,3,6,7,5,1,5,1,3,0,0,0
7,4,7,13,7,0,4,1,4,NA,0,0
2,4,7,11,7,0,11,1,2,0,0,0
2,3,7,11,7,1,4,1,4,0,1,1
5,4,7,9,7,0,3,1,4,1,0,1
2,2,4,6,4,0,6,1,3,1,0,0
2,3,4,11,4,1,10,1,3,1,0,1
5,4,7,9,5,0,5.900900900900901,0,3,1,0,1
1,4,7,9,6,0,7,1,1,1,0,0
3,3,7,9,2,0,5,1,3,0,0,1
2,4,7,11,6,1,11,1,4,1,1,1
2,2,7,4,6,0,4,1,3,1,0,1
2,3,1,4,6,1,11,0,2,1,0,1
1,3,7,11,6,0,3,1,3,0,0,1
2,4,7,12,1,0,4,1,4,1,0,0
1,3,7,4,1,1,1,0,4,NA,0,1
1,4,6,9,5,1,5,1,3,1,0,0
4,2,4,10,5,1,2,1,3,1,0,0
3,3,7,11,7,1,10,1,4,1,0,0
6,3,6,4,5,1,2,0,2,0,1,1
