"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","2107506","Nordeste","11","PREFEITO","26","PAN","712"
"2004","1","2108603","Nordeste","11","PREFEITO","26","PAN","12175"
"2004","1","2109304","Nordeste","11","PREFEITO","26","PAN","424"
"2004","1","2109700","Nordeste","11","PREFEITO","26","PAN","1074"
"2004","1","2204501","Nordeste","11","PREFEITO","26","PAN","155"
"2004","1","2302800","Nordeste","11","PREFEITO","26","PAN","54"
"2004","1","2402600","Nordeste","11","PREFEITO","26","PAN","1675"
"2004","1","2403251","Nordeste","11","PREFEITO","26","PAN","1451"
"2004","1","2403608","Nordeste","11","PREFEITO","26","PAN","844"
"2004","1","2403806","Nordeste","11","PREFEITO","26","PAN","6"
"2004","1","2407500","Nordeste","11","PREFEITO","26","PAN","111"
"2004","1","2600807","Nordeste","11","PREFEITO","26","PAN","16"
"2004","1","2600906","Nordeste","11","PREFEITO","26","PAN","17"
"2004","1","2601201","Nordeste","11","PREFEITO","26","PAN","73"
"2004","1","2603801","Nordeste","11","PREFEITO","26","PAN","39"
"2004","1","2606408","Nordeste","11","PREFEITO","26","PAN","1053"
"2004","1","2609402","Nordeste","11","PREFEITO","26","PAN","8489"
"2004","1","2700805","Nordeste","11","PREFEITO","26","PAN","1"
"2004","1","2800308","Nordeste","11","PREFEITO","26","PAN","2906"
"2004","1","2904902","Nordeste","11","PREFEITO","26","PAN","2558"
"2004","1","2912103","Nordeste","11","PREFEITO","26","PAN","92"
"2004","1","2913606","Nordeste","11","PREFEITO","26","PAN","18025"
"2004","1","2914802","Nordeste","11","PREFEITO","26","PAN","1557"
"2004","1","2914901","Nordeste","11","PREFEITO","26","PAN","270"
"2004","1","3131703","Sudeste","11","PREFEITO","26","PAN","17538"
"2004","1","3144102","Sudeste","11","PREFEITO","26","PAN","99"
"2004","1","3144300","Sudeste","11","PREFEITO","26","PAN","170"
"2004","1","3148004","Sudeste","11","PREFEITO","26","PAN","466"
"2004","1","3164704","Sudeste","11","PREFEITO","26","PAN","423"
"2004","1","3170206","Sudeste","11","PREFEITO","26","PAN","435"
"2004","1","3200102","Sudeste","11","PREFEITO","26","PAN","900"
"2004","1","3202801","Sudeste","11","PREFEITO","26","PAN","37"
"2004","1","3203320","Sudeste","11","PREFEITO","26","PAN","6673"
"2004","1","3302403","Sudeste","11","PREFEITO","26","PAN","2992"
"2004","1","3518800","Sudeste","11","PREFEITO","26","PAN","1433"
"2004","1","3520103","Sudeste","11","PREFEITO","26","PAN","6373"
"2004","1","3529005","Sudeste","11","PREFEITO","26","PAN","713"
"2004","1","3534401","Sudeste","11","PREFEITO","26","PAN","2068"
"2004","1","3547304","Sudeste","11","PREFEITO","26","PAN","14"
"2004","1","3549904","Sudeste","11","PREFEITO","26","PAN","1023"
"2004","1","3550308","Sudeste","11","PREFEITO","26","PAN","16339"
"2004","1","3554003","Sudeste","11","PREFEITO","26","PAN","3791"
"2004","1","1200179","Norte","11","PREFEITO","65","PC do B","975"
"2004","1","1200336","Norte","11","PREFEITO","65","PC do B","1881"
"2004","1","1200435","Norte","11","PREFEITO","65","PC do B","430"
"2004","1","1200609","Norte","11","PREFEITO","65","PC do B","3401"
"2004","1","1301407","Norte","11","PREFEITO","65","PC do B","238"
"2004","1","1301654","Norte","11","PREFEITO","65","PC do B","2442"
"2004","1","1302603","Norte","11","PREFEITO","65","PC do B","103333"
"2004","1","1303536","Norte","11","PREFEITO","65","PC do B","1214"
"2004","1","2100055","Nordeste","11","PREFEITO","65","PC do B","240"
"2004","1","2106904","Nordeste","11","PREFEITO","65","PC do B","4635"
"2004","1","2108504","Nordeste","11","PREFEITO","65","PC do B","172"
"2004","1","2111029","Nordeste","11","PREFEITO","65","PC do B","3459"
"2004","1","2200202","Nordeste","11","PREFEITO","65","PC do B","1420"
"2004","1","2201507","Nordeste","11","PREFEITO","65","PC do B","412"
"2004","1","2201606","Nordeste","11","PREFEITO","65","PC do B","497"
"2004","1","2201770","Nordeste","11","PREFEITO","65","PC do B","50"
"2004","1","2202000","Nordeste","11","PREFEITO","65","PC do B","383"
"2004","1","2202133","Nordeste","11","PREFEITO","65","PC do B","1485"
"2004","1","2202251","Nordeste","11","PREFEITO","65","PC do B","1356"
"2004","1","2202307","Nordeste","11","PREFEITO","65","PC do B","168"
"2004","1","2203230","Nordeste","11","PREFEITO","65","PC do B","912"
"2004","1","2203503","Nordeste","11","PREFEITO","65","PC do B","2585"
"2004","1","2204501","Nordeste","11","PREFEITO","65","PC do B","2928"
"2004","1","2205508","Nordeste","11","PREFEITO","65","PC do B","805"
"2004","1","2205607","Nordeste","11","PREFEITO","65","PC do B","1307"
"2004","1","2205904","Nordeste","11","PREFEITO","65","PC do B","1127"
"2004","1","2206902","Nordeste","11","PREFEITO","65","PC do B","1315"
"2004","1","2207009","Nordeste","11","PREFEITO","65","PC do B","1276"
"2004","1","2207504","Nordeste","11","PREFEITO","65","PC do B","3053"
"2004","1","2209104","Nordeste","11","PREFEITO","65","PC do B","1339"
"2004","1","2210656","Nordeste","11","PREFEITO","65","PC do B","434"
"2004","1","2211001","Nordeste","11","PREFEITO","65","PC do B","16066"
"2004","1","2300200","Nordeste","11","PREFEITO","65","PC do B","28"
"2004","1","2304400","Nordeste","11","PREFEITO","65","PC do B","214002"
"2004","1","2306108","Nordeste","11","PREFEITO","65","PC do B","8"
"2004","1","2307635","Nordeste","11","PREFEITO","65","PC do B","2288"
"2004","1","2309409","Nordeste","11","PREFEITO","65","PC do B","95"
